Bagging	ant-1-2006-study1And2	0.78
Bagging	ant-1-2007-study1And2	0.24
Bagging	ant-1-2008-study1And2	0.51
Bagging	ant-1-2009-study1And2	0.28
Bagging	ant-1-2010-study1And2	0.49
Bagging	ant-1-2011-study1And2	0
Bagging	ant-1-2012-study1And2	0.4
Bagging	ant-2-2006-study1And2	0.24
Bagging	ant-2-2007-study1And2	0.04
Bagging	ant-2-2008-study1And2	0.08
Bagging	ant-2-2009-study1And2	0.32
Bagging	ant-2-2010-study1And2	0.63
Bagging	ant-2-2011-study1And2	0.19
Bagging	ant-2-2012-study1And2	0.62
Bagging	camel-1-2008-study1And2	0.32
Bagging	camel-1-2009-study1And2	0.53
Bagging	camel-1-2010-study1And2	0.39
Bagging	camel-1-2011-study1And2	0.4
Bagging	camel-1-2012-study1And2	0.52
Bagging	camel-2-2008-study1And2	0.36
Bagging	camel-2-2009-study1And2	0.37
Bagging	camel-2-2010-study1And2	0.66
Bagging	camel-2-2011-study1And2	0.45
Bagging	camel-2-2012-study1And2	0.48
Bagging	cassandra-1-2010-study1And2	0.61
Bagging	cassandra-1-2011-study1And2	0.48
Bagging	cassandra-1-2012-study1And2	0.42
Bagging	cassandra-2-2010-study1And2	0.43
Bagging	cassandra-2-2011-study1And2	0.63
Bagging	cassandra-2-2012-study1And2	0.27
Bagging	cxf-1-2006-study1And2	0.99
Bagging	cxf-1-2007-study1And2	0.44
Bagging	cxf-1-2008-study1And2	0.52
Bagging	cxf-1-2009-study1And2	0.46
Bagging	cxf-1-2010-study1And2	0.37
Bagging	cxf-1-2011-study1And2	0.49
Bagging	cxf-1-2012-study1And2	0.47
Bagging	cxf-2-2006-study1And2	0.7
Bagging	cxf-2-2007-study1And2	0.45
Bagging	cxf-2-2008-study1And2	0.42
Bagging	cxf-2-2009-study1And2	0.44
Bagging	cxf-2-2010-study1And2	0.46
Bagging	cxf-2-2011-study1And2	0.55
Bagging	cxf-2-2012-study1And2	0.45
Bagging	derby-1-2006-study1And2	0.21
Bagging	derby-1-2007-study1And2	0.34
Bagging	derby-1-2008-study1And2	0.29
Bagging	derby-1-2009-study1And2	0.34
Bagging	derby-1-2010-study1And2	0.37
Bagging	derby-1-2011-study1And2	0.2
Bagging	derby-1-2012-study1And2	0.21
Bagging	derby-2-2006-study1And2	0.39
Bagging	derby-2-2007-study1And2	0.38
Bagging	derby-2-2008-study1And2	0.4
Bagging	derby-2-2009-study1And2	0.22
Bagging	derby-2-2010-study1And2	0.3
Bagging	derby-2-2011-study1And2	0.16
Bagging	derby-2-2012-study1And2	0.15
Bagging	hadoop-1-2009-study1And2	0.57
Bagging	hadoop-1-2010-study1And2	0.43
Bagging	hadoop-1-2011-study1And2	0.97
Bagging	hadoop-1-2012-study1And2	0.64
Bagging	hadoop-2-2009-study1And2	0.38
Bagging	hadoop-2-2010-study1And2	0
Bagging	hadoop-2-2011-study1And2	0.58
Bagging	hadoop-2-2012-study1And2	0.5
Bagging	httpd-1-2005-study1And2	0.51
Bagging	httpd-1-2006-study1And2	0
Bagging	httpd-1-2008-study1And2	0.03
Bagging	httpd-1-2009-study1And2	0.27
Bagging	httpd-1-2010-study1And2	0.05
Bagging	httpd-1-2011-study1And2	0.04
Bagging	httpd-1-2012-study1And2	0.3
Bagging	httpd-2-2005-study1And2	0
Bagging	httpd-2-2006-study1And2	0.04
Bagging	httpd-2-2007-study1And2	0.19
Bagging	httpd-2-2008-study1And2	0.22
Bagging	httpd-2-2009-study1And2	0.49
Bagging	httpd-2-2010-study1And2	0.13
Bagging	httpd-2-2011-study1And2	0
Bagging	httpd-2-2012-study1And2	0.49
Bagging	jmeter-1-2003-study1And2	0.51
Bagging	jmeter-1-2004-study1And2	0.32
Bagging	jmeter-1-2005-study1And2	0
Bagging	jmeter-1-2006-study1And2	0.4
Bagging	jmeter-1-2007-study1And2	0.45
Bagging	jmeter-1-2008-study1And2	0.27
Bagging	jmeter-1-2009-study1And2	0.19
Bagging	jmeter-1-2010-study1And2	0.16
Bagging	jmeter-1-2011-study1And2	0.19
Bagging	jmeter-1-2012-study1And2	0.48
Bagging	jmeter-2-2003-study1And2	0.48
Bagging	jmeter-2-2004-study1And2	0.37
Bagging	jmeter-2-2005-study1And2	0.38
Bagging	jmeter-2-2006-study1And2	0
Bagging	jmeter-2-2007-study1And2	0.28
Bagging	jmeter-2-2008-study1And2	0.2
Bagging	jmeter-2-2009-study1And2	0.36
Bagging	jmeter-2-2010-study1And2	0.39
Bagging	jmeter-2-2011-study1And2	0.18
Bagging	jmeter-2-2012-study1And2	0.14
Bagging	mahout-1-2010-study1And2	0.49
Bagging	mahout-1-2011-study1And2	0.36
Bagging	mahout-1-2012-study1And2	0.18
Bagging	mahout-2-2010-study1And2	0.42
Bagging	mahout-2-2011-study1And2	0.38
Bagging	mahout-2-2012-study1And2	0.16
Bagging	maven2-1-2006-study1And2	0.67
Bagging	maven2-1-2007-study1And2	0.58
Bagging	maven2-1-2008-study1And2	0.67
Bagging	maven2-1-2009-study1And2	0.53
Bagging	maven2-2-2006-study1And2	0.89
Bagging	maven2-2-2007-study1And2	0.46
Bagging	maven2-2-2008-study1And2	0.64
Bagging	maven2-2-2009-study1And2	0
Bagging	openjpa-1-2007-study1And2	0.39
Bagging	openjpa-1-2008-study1And2	0.51
Bagging	openjpa-1-2009-study1And2	0.53
Bagging	openjpa-1-2010-study1And2	0.43
Bagging	openjpa-1-2011-study1And2	0.35
Bagging	openjpa-1-2012-study1And2	0.23
Bagging	openjpa-2-2007-study1And2	0.36
Bagging	openjpa-2-2008-study1And2	0.54
Bagging	openjpa-2-2009-study1And2	0.57
Bagging	openjpa-2-2010-study1And2	0.42
Bagging	openjpa-2-2011-study1And2	0.33
Bagging	openjpa-2-2012-study1And2	0.5
Bagging	solr-1-2007-study1And2	0.38
Bagging	solr-1-2008-study1And2	0.47
Bagging	solr-1-2009-study1And2	0.23
Bagging	solr-1-2010-study1And2	0
Bagging	solr-2-2007-study1And2	0.32
Bagging	solr-2-2008-study1And2	0.43
Bagging	solr-2-2009-study1And2	0.93
Bagging	tomcat-1-2006-study1And2	0.67
Bagging	tomcat-1-2007-study1And2	0.38
Bagging	tomcat-1-2008-study1And2	0.41
Bagging	tomcat-1-2009-study1And2	0.53
Bagging	tomcat-1-2010-study1And2	0.49
Bagging	tomcat-1-2011-study1And2	0.76
Bagging	tomcat-1-2012-study1And2	0.27
Bagging	tomcat-2-2006-study1And2	0.41
Bagging	tomcat-2-2007-study1And2	0.24
